geneNcbiID,diseaseUMLSCUI
87,C2751260
87,C3554663
87,C0040034
87,C4304021
87,C1458140
87,C0855740
88,C0007193
88,C0007194
88,C5231445
88,C2677338
88,C0878544
88,C0349788
88,C5203349
88,C0340427
88,C3495498
88,C4021133
88,C0039685
88,C0039070
88,C0042510
88,C0949658
88,C5679590
88,C1449563
88,C1858725
88,C4225403
88,C0043202
89,C3888203
89,C3888204
90,C0016037
90,C0555198
90,C0017638
90,C0677865
90,C1458155
90,C0242488
90,C0152021
90,C0017606
90,C0004114
90,C0206368
90,C0025202
90,C0339573
90,C0027122
90,C0278701
90,C0678230
90,C0750935
91,C0030297
91,C0235974
91,C0153463
91,C0153458
91,C0153459
91,C0153460
91,C0153423
91,C0007131
91,C0153422
91,C0038356
91,C0149925
91,C0024623
91,C0153421
91,C0345967
91,C0278752
91,C1332338
91,C0392400
91,C1837341
92,C0007102
92,C0009405
92,C1333990
92,C0278701
92,C0920269
93,C3178805
93,C0037221
93,C3151057
93,C3553676
93,C1853444
93,C1844020
93,C1415817
94,C0039445
94,C2973725
94,C1838163
94,C0020542
94,C3809715
94,C4551861
94,C0014591
94,C1857697
94,C4022018
94,C4025877
94,C3850148
94,C4025271
94,C0040034
94,C1458140
94,C1832529
94,C4552070
95,C1835922
95,C0007134
95,C0006142
98,C0008707
100,C0085110
100,C0268124
100,C0392607
100,C0024121
100,C0041326
100,C0004096
100,C0007102
100,C1863239
100,C2700553
100,C0004352
100,C1510586
100,C1863236
100,C0020452
100,C0042133
100,C0152531
100,C1335302
100,C0037928
100,C1832322
101,C4277682
102,C0002395
102,C3810041
102,C0406811
102,C1458155
102,C3714534
102,C0035078
102,C5575119
102,C0033054
102,C0017661
102,C0016059
102,C1321872
103,C0406775
103,C0393591
103,C3539013
103,C0006142
103,C1458155
103,C3489724
103,C0796126
103,C2749659
103,C3888244
103,C1835916
103,C0477365
103,C1835912
103,C0023890
103,C0023264
103,C4024877
103,C4551563
103,C0454644
103,C3489725
103,C0282160
103,C4024851
103,C4025790
103,C0401149
103,C0003467
103,C1860236
103,C0346629
103,C0343641
103,C2711630
103,C4087174
103,C0406438
103,C1856749
103,C0950124
103,C1859077
103,C0263523
103,C1842774
103,C4012968
103,C1837279
104,C0005586
104,C0036341
104,C0033975
104,C5394312
104,C5680525
104,C0032460
105,C0030567
105,C0236969
105,C0009402
107,C1857809
107,C0452138
107,C1846647
107,C5779549
107,C3887506
107,C0149925
108,C0005586
108,C0024713
108,C0004096
108,C0005587
108,C0236780
109,C0028754
109,C0028756
109,C0005586
109,C0525045
109,C0011871
109,C0011875
109,C4693522
111,C0011860
111,C0878544
111,C1847627
111,C0011570
111,C0393584
111,C0011581
111,C5551343
111,C0001973
111,C5562036
111,C1535926
111,C0016059
111,C1269683
111,C0041696
111,C0005612
111,C5562038
111,C0013362
111,C0020538
111,C3279722
111,C4022738
111,C0033141
111,C0007097
111,C0242698
111,C1368683
111,C0036529
111,C0553707
111,C0023015
111,C0242422
111,C0029456
112,C4225385
112,C0750442
112,C2183058
112,C0265561
112,C0478066
112,C0265562
112,C0158760
112,C4707882
112,C0587371
112,C1387923
112,C1404173
113,C0011570
113,C1269683
113,C0001973
113,C0041696
113,C0011581
113,C0023467
113,C0525045
113,C0009324
113,C0409667
113,C0157918
113,C0157917
113,C0036341
113,C0157916
113,C0375359
114,C0525045
114,C0005586
114,C0011581
114,C0011570
114,C0011875
114,C3887506
114,C0011871
114,C0009402
115,C1535926
116,C0011581
116,C0036341
116,C0011570
116,C0005586
116,C0878544
116,C0235032
116,C0026205
116,C0878773
116,C0020452
116,C0036529
116,C3887612
116,C0033141
116,C0279626
117,C0004096
117,C0036341
118,C0020538
118,C0085580
118,C0004153
118,C0265706
118,C0027051
118,C0017661
118,C0020474
118,C2239176
118,C0040588
118,C3837651
119,C0020538
119,C0017661
120,C0007789
120,C4310767
120,C0005586
120,C4551563
120,C0236780
120,C0024713
120,C5190693
120,C0005587
120,C0235032
120,C0007786
123,C0015695
123,C0038356
123,C0015696
124,C0001973
125,C0001973
125,C0085762
125,C0001969
125,C0033975
125,C0393756
125,C0349464
125,C3887915
126,C0001973
126,C0001969
126,C0030297
126,C0085762
126,C0026640
126,C3160718
126,C0153460
126,C0153459
126,C4274355
126,C0153463
126,C0153458
126,C1838867
127,C0001973
127,C2239176
127,C0001956
127,C3241937
127,C0085762
127,C0400966
127,C1510586
128,C0001973
128,C0004096
128,C5436906
128,C1510586
130,C0001973
130,C1510586
131,C0001973
131,C0026640
131,C0014859
131,C0031347
131,C0023055
132,C4706555
132,C0036341
132,C0242184
132,C0268613
132,C0025362
133,C0032460
133,C0243026
133,C0030297
133,C0006142
133,C0021655
133,C0017658
133,C0005586
133,C0020542
133,C0030193
133,C0004352
133,C0036341
133,C0020429
133,C0153463
133,C0153459
133,C0153460
133,C0153458
133,C0751955
133,C0038358
133,C0020456
134,C0004096
134,C0022116
134,C0428977
134,C0036341
134,C0038525
134,C0009402
134,C0007787
134,C0033054
134,C0020649
134,C0740392
134,C0027746
134,C0013182
134,C0242973
134,C0027051
134,C0007370
135,C0036341
135,C0003469
135,C0243026
135,C0003873
135,C0026650
135,C0030319
135,C0011570
135,C0035126
135,C4707658
135,C0004096
135,C0040822
135,C0525045
135,C0878544
135,C0154334
135,C0021603
135,C0036529
135,C0154536
135,C1262477
135,C0242973
135,C0020649
135,C3887506
135,C0013182
135,C0033141
136,C0035126
136,C4277682
136,C0243026
140,C0022116
140,C0009402
140,C0027051
142,C0033578
142,C1458155
142,C0025202
142,C0006142
142,C0026764
142,C2239176
142,C0009404
142,C0021368
142,C0004096
142,C0699791
142,C0002395
142,C0030567
142,C0028754
142,C0022658
142,C0270611
142,C0011603
142,C0032285
142,C0273115
142,C0035126
142,C0002871
142,C0003864
142,C0004153
142,C0034069
142,C0027697
142,C0162871
142,C0037929
142,C0242422
142,C0034063
142,C0345967
142,C0007786
142,C0878544
142,C0003089
142,C0085437
142,C0025362
142,C0022821
142,C0392400
142,C0022340
142,C1332338
142,C0751383
142,C1850451
142,C0278752
142,C0033141
142,C0038325
142,C0149519
142,C0042842
142,C0027877
142,C0752130
142,C0522224
142,C2608055
142,C0002170
142,C0001308
142,C0030305
142,C0019189
142,C0036529
142,C0022797
143,C0009375
146,C1135196
147,C0020649
147,C0235032
147,C0525045
147,C0027746
147,C0018800
147,C0022658
148,C0036341
148,C0002395
148,C0020538
148,C2239176
148,C0005586
148,C0041696
148,C0006870
148,C1269683
148,C0009171
148,C0023890
148,C0006142
148,C0600427
148,C3496069
148,C0019337
148,C0600519
150,C0036341
150,C0011860
150,C0011581
150,C0041671
150,C0525045
150,C0016059
150,C0020538
150,C0001973
150,C0011570
150,C0014544
150,C0030319
150,C0020649
150,C0018799
150,C0018800
151,C0028754
151,C0011860
151,C0027051
151,C0020538
151,C0036572
151,C2239176
151,C4273988
151,C0011882
151,C0025362
151,C1842852
151,C0024115
151,C0010520
152,C0018801
152,C0018802
152,C0525045
152,C0005586
152,C2676080
152,C0016059
152,C0018800
153,C0018801
153,C0020538
153,C0018802
153,C0007222
153,C0028754
153,C0007193
153,C0011570
153,C0151744
153,C0011849
153,C0520679
153,C0011581
153,C0031099
153,C0152136
153,C0024117
153,C0242973
153,C0525045
153,C0005612
153,C0027055
153,C0020452
153,C3838076
153,C0553980
153,C2676080
153,C1821417
153,C0027719
153,C5231420
153,C0038356
154,C0004096
154,C0028754
154,C0033578
154,C0020538
154,C0010674
154,C0024117
154,C0038356
154,C0015695
154,C0025517
154,C0027051
154,C0021655
154,C0018213
154,C0878544
154,C0026896
154,C0007193
154,C0004352
154,C0017612
154,C0151744
154,C0339573
154,C0022660
154,C0005586
154,C0020473
154,C0024115
154,C0040822
154,C2609414
154,C1510586
154,C0282488
154,C0006271
154,C0034063
154,C0033860
154,C0019693
154,C0020445
154,C0011603
154,C0015696
154,C0022661
154,C1565662
154,C1260409
154,C0029839
154,C0020476
154,C0016059
154,C0600327
154,C1862282
154,C0014055
154,C0033141
154,C0036529
154,C0242698
154,C0001849
154,C1514284
154,C0027765
155,C0028754
155,C0011860
155,C0018801
155,C0020538
155,C0018802
155,C0020473
155,C0010054
155,C0007103
155,C0014170
155,C0010068
155,C3241937
155,C0018099
155,C0400966
155,C0011884
155,C0003873
155,C0002395
155,C0264694
155,C0007193
155,C0151744
155,C0003868
155,C1858591
155,C0020476
155,C0149721
156,C0018801
156,C0003873
156,C0007222
156,C0020538
156,C0018802
156,C0265275
156,C0018800
156,C0033141
156,C0000768
156,C1319315
156,C0752351
156,C0878544
156,C0036529
156,C0162820
157,C0005586
157,C0005587
157,C0024713
157,C0236780
158,C0268126
158,C0004352
158,C1510586
158,C1837397
158,C0241237
158,C4021759
158,C1854838
159,C0036341
162,C1275089
162,C1836330
162,C2315100
162,C0240991
162,C0856863
162,C1843859
162,C0151313
162,C4021585
162,C5574742
162,C1858120
163,C0086132
164,C5561952
164,C5561994
164,C1535926
164,C5568766
165,C4693870
165,C0268335
165,C0271183
165,C1510586
166,C0151744
173,C1565662
173,C0022660
173,C2609414
174,C2239176
174,C0023895
174,C0019196
174,C0038356
174,C1458155
174,C1863080
174,C1863081
174,C4274336
174,C0085215
175,C0268225
175,C3714756
175,C0085078
175,C0036341
175,C4017301
175,C1535926
176,C3665488
176,C0003873
176,C1842149
176,C0029421
176,C2748544
176,C5681177
176,C0349588
176,C4540541
176,C0032273
176,C4540542
176,C0238288
177,C0021368
177,C0002395
177,C0011860
177,C0011854
177,C0004153
177,C0007222
177,C0004096
177,C0151744
177,C0003873
177,C0026769
177,C0010068
177,C0020456
177,C0011875
177,C0027051
177,C0024141
177,C0010674
177,C0036341
177,C0010054
177,C0020538
177,C0011884
177,C0027796
177,C0020564
177,C0033860
177,C1270972
177,C0025202
177,C2609414
177,C0022660
177,C0752347
177,C0033687
177,C0024143
177,C0022661
177,C0004030
177,C0677886
177,C0028756
177,C0162819
177,C0740392
177,C0264694
177,C0036363
177,C1565662
177,C0029607
177,C0157946
177,C0020429
177,C0029771
177,C0264423
177,C0262593
177,C0011871
178,C0017922
178,C0017919
178,C1968740
178,C1968739
178,C4021768
178,C1968741
181,C0028754
181,C0011860
181,C4016782
181,C0039870
182,C0085280
182,C0039685
182,C1458155
182,C0018798
182,C1956125
182,C0024121
182,C0011053
182,C0017636
182,C2930797
182,C0026769
182,C0036341
182,C3496579
182,C0854723
182,C1866053
182,C0010606
182,C0015393
182,C1514422
182,C0036439
182,C0038454
182,C5562003
182,C0153461
182,C0887833
182,C1510586
182,C0265004
182,C0278878
182,C0007959
182,C0036095
182,C4707243
182,C0005940
182,C0016202
182,C5679680
182,C5679679
182,C1968949
182,C0010038
182,C1857761
182,C0282631
183,C0020538
183,C0007222
183,C0085580
183,C0018801
183,C0022658
183,C0032914
183,C5203670
183,C0027051
183,C0021368
183,C0266313
183,C0018802
183,C0004153
183,C0020564
183,C0162871
183,C0011884
183,C0011570
183,C0042373
183,C0011581
183,C0018799
183,C0878544
183,C0017658
183,C0017661
183,C0033687
183,C0020649
183,C0151744
183,C0016059
183,C0028754
183,C0004238
183,C0011881
183,C0002940
183,C0003811
183,C0020544
183,C0600519
183,C0035078
183,C0149721
183,C0340643
183,C0034069
183,C0040053
183,C0001925
183,C0003486
183,C0002871
183,C0007194
183,C0020459
183,C0032285
183,C0017668
183,C0006142
183,C0007192
183,C0853897
183,C0087086
183,C0027540
183,C0034152
183,C0020540
183,C0035344
183,C0598608
183,C0035126
183,C0428977
183,C0007820
183,C0021390
183,C0876994
183,C0271650
183,C0026267
183,C0243050
183,C0002986
183,C0005586
183,C0023890
183,C0741160
183,C5681536
183,C0020452
183,C0007370
183,C0027720
183,C0020517
183,C0730379
183,C0033141
183,C0242698
183,C0029944
183,C0007273
183,C0020295
183,C0002063
183,C0034063
183,C0018800
183,C4551563
183,C0003460
183,C0037052
183,C0015934
183,C0029696
183,C1862886
183,C0752127
183,C0019284
183,C0020429
183,C1514284
183,C1963943
183,C0027055
183,C0008370
183,C1970129
183,C2936380
183,C0752130
183,C0029227
183,C1305122
183,C0456132
183,C0265012
185,C0020538
185,C0085580
185,C0266313
185,C0027051
185,C5203670
185,C0018801
185,C0022658
185,C0018802
185,C0006142
185,C0010054
185,C0002395
185,C0010068
185,C0022661
185,C0033687
185,C0016059
185,C0020542
185,C0011884
185,C0036202
185,C0013274
185,C0162871
185,C0151744
185,C5681536
185,C0271650
185,C0018800
185,C0007273
185,C0016719
185,C0007820
185,C0264694
185,C0000786
185,C0730379
185,C0887833
185,C0178324
185,C0153461
185,C3275898
185,C1176475
185,C0206692
185,C0032019
185,C0019284
186,C0020538
186,C0042580
186,C0017661
186,C0149721
186,C0853897
186,C0025362
186,C0038356
186,C0206692
186,C0022661
186,C0020615
186,C0178324
186,C2931498
186,C0029513
189,C0268164
189,C0020501
189,C0020500
189,C0027709
189,C0392525
189,C4021768
189,C0027726
190,C0342482
190,C1848296
190,C0020619
190,C0028960
190,C2936419
190,C4510744
190,C2749175
190,C2936694
191,C3151058
191,C4048705
191,C0019202
191,C0268621
191,C0162871
191,C3241937
191,C0268613
191,C0242184
191,C1847720
191,C0035410
191,C2673200
191,C0152013
191,C0400966
191,C1335060
191,C0002514
196,C1458155
196,C0003873
196,C0028754
196,C0025517
196,C2973725
196,C0152013
196,C0021368
196,C0023903
196,C0011615
196,C0020538
196,C0038356
196,C0021655
196,C0033578
196,C0032285
196,C0009319
196,C0004153
196,C0400966
196,C0030297
196,C0043094
196,C0018798
196,C0242339
196,C3241937
196,C0273115
196,C0004943
196,C0021364
196,C0271650
196,C1510586
196,C0042373
196,C0035334
196,C5193041
196,C0162834
196,C0033774
196,C1262477
196,C0149721
196,C0020564
196,C0559470
196,C0344688
196,C0700501
196,C0023890
196,C0023895
196,C4277682
196,C0018800
196,C0153463
196,C0153459
196,C0153458
196,C0153460
196,C0236811
196,C0000786
196,C0005612
196,C0022593
196,C0021361
196,C0020578
196,C0020615
196,C1335060
196,C0002940
196,C0000889
196,C0333641
196,C0018273
196,C0019209
196,C0037997
196,C0038002
196,C0039231
196,C0011616
196,C0862030
196,C0027540
196,C0752127
196,C0005974
196,C0005683
196,C0027643
196,C0752130
196,C0040336
196,C0041955
196,C0037116
196,C0027626
197,C0011860
197,C0010054
197,C0010068
197,C0151744
197,C0022660
197,C2609414
197,C1859878
197,C0006663
197,C1833683
197,C0264694
197,C2931280
197,C1565662
199,C0011854
199,C0030567
199,C0752347
199,C0038525
199,C0020429
199,C0085580
199,C0040997
199,C0020538
202,C0025202
203,C2675459
203,C0002882
203,C0002878
203,C4721414
203,C0751958
203,C0151744
204,C0272167
204,C0085110
204,C0011053
205,C0157946
207,C0033578
207,C1140680
207,C0024121
207,C0009404
207,C0085261
207,C0919267
207,C1458155
207,C0036341
207,C0006142
207,C0030297
207,C0007131
207,C0011860
207,C0040136
207,C0028754
207,C0025202
207,C2239176
207,C0005695
207,C0596263
207,C0585442
207,C0699790
207,C0152013
207,C0376358
207,C0025286
207,C0005586
207,C0007873
207,C0005684
207,C0024809
207,C0001418
207,C0021368
207,C1168401
207,C0037286
207,C0007102
207,C0007137
207,C0014544
207,C0030567
207,C0018553
207,C0015695
207,C0278701
207,C0020507
207,C0016059
207,C0149925
207,C0011581
207,C0011570
207,C0007112
207,C0279543
207,C0151779
207,C0030193
207,C0878544
207,C0019209
207,C0020557
207,C0279680
207,C1134719
207,C0032580
207,C0079772
207,C0751688
207,C0525045
207,C0023487
207,C0858252
207,C0149782
207,C3554519
207,C0041327
207,C0015696
207,C0026846
207,C1299247
207,C0346153
207,C0346629
207,C0005587
207,C1527349
207,C1266071
207,C0236780
207,C0332890
207,C0024713
207,C0018800
207,C0153460
207,C0153458
207,C0154334
207,C0025284
207,C0033141
207,C0153463
207,C1334698
207,C0154536
207,C0006868
207,C0153459
207,C0279763
207,C0036529
207,C0428791
208,C0011860
208,C0033578
208,C0009404
208,C0020615
208,C0600139
208,C0376358
208,C3278384
208,C1458155
208,C0007131
208,C0677886
208,C0271694
208,C0007103
208,C0014170
208,C4751124
208,C0005586
208,C0001418
208,C1720860
208,C1720861
208,C0007112
208,C1720859
208,C5680134
210,C0268328
210,C0023176
210,C0023890
210,C0023895
210,C0162533
210,C0020538
210,C0025286
210,C0162566
210,C0033578
210,C0019034
210,C0002895
210,C0007134
210,C0022658
210,C0018939
210,C0035222
210,C4016013
210,C1510586
210,C1334698
211,C0032708
212,C4551511
212,C0002896
212,C2677889
212,C0162568
212,C0162530
212,C0018995
212,C0041834
212,C4225593
213,C0239981
213,C0027726
213,C0020538
213,C0023890
213,C0007222
213,C0022658
213,C0033687
213,C2239176
213,C0011881
213,C0022660
213,C0342185
213,C0162557
213,C2609414
213,C0022661
213,C0011570
213,C0018801
213,C0016059
213,C0009324
213,C0040034
213,C0038454
213,C0017658
213,C0038356
213,C0017665
213,C0019693
213,C0085584
213,C0273115
213,C0027720
213,C0020649
213,C0018799
213,C0206698
213,C0027697
213,C0018802
213,C0033860
213,C0030305
213,C0019189
213,C0011875
213,C0014544
213,C0270611
213,C4305253
213,C0035222
213,C0027707
